state,n_killed,n_injured
Vermont,9,11
Connecticut,89,293
Oregon,99,170
Pennsylvania,635,1188
Colorado,199,300
Wisconsin,209,519
Rhode Island,11,79
Alabama,544,856
South Carolina,395,791
California,1423,1953
Virginia,385,939
South Dakota,19,21
Tennessee,495,1198
Arkansas,216,437
Oklahoma,249,384
Washington,230,352
Alaska,69,70
Utah,70,110
Arizona,289,298
West Virginia,81,156
Texas,1169,1565
Kentucky,273,518
Delaware,56,241
Louisiana,549,1184
Iowa,71,229
Maine,33,36
Maryland,480,855
Indiana,407,737
Massachusetts,128,456
Michigan,369,771
Illinois,959,3629
Minnesota,115,282
Mississippi,324,593
Idaho,47,34
Missouri,609,921
Ohio,700,1517
Montana,41,33
Nebraska,47,152
Nevada,200,218
Georgia,658,1057
New Hampshire,23,30
New Jersey,275,663
Florida,950,1801
New Mexico,125,141
New York,347,1092
District of Columbia,100,340
North Carolina,556,1153
Kansas,152,264
North Dakota,15,33
Hawaii,8,20
Wyoming,9,13
