,rank,state,population,density_per_sq_mi
0,1,California,39461588,254.2929
1,2,Texas,28628666,113.8081
2,3,Florida,21244317,409.2229
3,4,New York,19530351,409.54
4,5,Pennsylvania,12800922,286.1704
5,6,Illinois,12723071,226.3967
6,7,Ohio,11676341,286.6944
7,8,Georgia,10511131,188.3054
8,9,North Carolina,10381615,220.1041
9,10,Michigan,9984072,176.7351
10,11,New Jersey,8886025,1206.7609
11,12,Virginia,8501286,217.8776
12,13,Washington,7523869,117.3249
13,14,Arizona,7158024,66.2016
14,15,Tennessee,6771631,168.4069
15,16,Massachusetts,6882635,886.1845
16,17,Indiana,6695497,189.9644
17,18,Missouri,6121623,89.7419
18,19,Maryland,6035802,624.8518
19,20,Colorado,5691287,56.8653
20,21,Wisconsin,5807406,108.0633
21,22,Minnesota,5606249,71.6641
22,23,South Carolina,5084156,175.5707
23,24,Alabama,4887681,97.4271
24,25,Louisiana,4659690,107.0966
25,26,Kentucky,4461153,113.476
26,27,Oregon,4181886,44.6872
27,28,Oklahoma,3940235,58.174
28,29,Connecticut,3571520,733.7507
29,30,Utah,3153550,40.2918
30,31,Puerto Rico,3193354,923.4964
31,32,Nevada,3027341,29.0195
32,33,Iowa,3148618,56.7158
33,34,Arkansas,3009733,58.3059
34,35,Mississippi,2981020,63.2186
35,36,Kansas,2911359,35.6808
36,37,New Mexico,2092741,17.354
37,38,Nebraska,1925614,25.4087
38,39,Idaho,1750536,22.5079
39,40,West Virginia,1804291,73.5443
40,41,Hawaii,1420593,218.9678
41,42,New Hampshire,1353465,153.2674
42,43,Maine,1339057,43.9167
43,44,Montana,1060665,7.4547
44,45,Rhode Island,1058287,1026.6044
45,46,Delaware,965479,508.1242
46,47,South Dakota,878698,11.8265
47,48,North Dakota,758080,11.1596
48,49,Alaska,735139,1.2694
49,50,District of Columbia,701547,11707.4262
50,51,Vermont,624358,67.6197
51,52,Wyoming,577601,5.9847
