,Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total
0,United States,0.1,0.238,0.21,0.12,0.273,0.174,0.141
1,Alabama,0.121,0.279,0.319,0.118,0.126,0.251,0.173
2,Alaska,0.068,0.0,0.178,0.0,0.274,0.104,0.106
3,Arizona,0.11,0.211,0.238,0.136,0.36,0.155,0.165
4,Arkansas,0.138,0.288,0.255,0.129,0.263,0.254,0.172
5,California,0.096,0.223,0.19,0.113,0.226,0.132,0.144
6,Colorado,0.081,0.19,0.172,0.116,0.223,0.152,0.108
7,Connecticut,0.058,0.182,0.194,0.096,0.0,0.137,0.095
8,Delaware,0.08,0.151,0.287,0.085,0.0,0.173,0.117
9,District of Columbia,0.076,0.281,0.217,0.14,0.0,0.0,0.191
10,Florida,0.106,0.227,0.19,0.123,0.225,0.193,0.148
11,Georgia,0.107,0.223,0.24,0.123,0.262,0.192,0.158
12,Hawaii,0.082,0.0,0.109,0.1,0.0,0.064,0.09
13,Idaho,0.127,0.0,0.243,0.0,0.243,0.196,0.144
14,Illinois,0.089,0.268,0.167,0.111,0.132,0.185,0.13
15,Indiana,0.111,0.279,0.242,0.226,0.203,0.226,0.14
16,Iowa,0.096,0.291,0.243,0.143,0.329,0.198,0.114
17,Kansas,0.1,0.275,0.182,0.118,0.15,0.143,0.121
18,Kentucky,0.168,0.313,0.327,0.156,0.0,0.255,0.186
19,Louisiana,0.126,0.34,0.242,0.169,0.302,0.241,0.203
20,Maine,0.12,0.49,0.134,0.0,0.303,0.27,0.13
21,Maryland,0.069,0.128,0.127,0.077,0.0,0.12,0.094
22,Massachusetts,0.067,0.189,0.264,0.142,0.213,0.151,0.105
23,Michigan,0.114,0.291,0.226,0.201,0.193,0.222,0.149
24,Minnesota,0.071,0.286,0.192,0.141,0.284,0.187,0.098
25,Mississippi,0.129,0.319,0.263,0.103,0.448,0.339,0.208
26,Missouri,0.118,0.23,0.237,0.153,0.212,0.241,0.139
27,Montana,0.119,0.0,0.143,0.0,0.241,0.209,0.131
28,Nebraska,0.087,0.281,0.246,0.197,0.32,0.0,0.117
29,Nevada,0.095,0.214,0.189,0.107,0.31,0.129,0.136
30,New Hampshire,0.063,0.0,0.15,0.0,0.0,0.203,0.069
31,New Jersey,0.064,0.171,0.183,0.064,0.273,0.12,0.103
32,New Mexico,0.124,0.213,0.241,0.0,0.325,0.211,0.201
33,New York,0.096,0.205,0.243,0.168,0.234,0.184,0.148
34,North Carolina,0.11,0.244,0.278,0.113,0.236,0.21,0.157
35,North Dakota,0.085,0.0,0.272,0.0,0.383,0.0,0.116
36,Ohio,0.11,0.306,0.259,0.154,0.303,0.261,0.144
37,Oklahoma,0.122,0.288,0.259,0.157,0.228,0.198,0.161
38,Oregon,0.111,0.257,0.231,0.149,0.242,0.177,0.134
39,Pennsylvania,0.093,0.264,0.283,0.133,0.345,0.206,0.128
40,Rhode Island,0.095,0.205,0.232,0.105,0.0,0.264,0.127
41,South Carolina,0.101,0.244,0.262,0.107,0.0,0.293,0.152
42,South Dakota,0.081,0.0,0.306,0.0,0.555,0.328,0.138
43,Tennessee,0.125,0.261,0.287,0.104,0.0,0.206,0.157
44,Texas,0.089,0.204,0.223,0.108,0.129,0.149,0.157
45,Utah,0.082,0.392,0.18,0.145,0.363,0.124,0.104
46,Vermont,0.111,0.0,0.0,0.0,0.0,0.0,0.112
47,Virginia,0.086,0.182,0.153,0.072,0.099,0.146,0.111
48,Washington,0.092,0.22,0.195,0.096,0.242,0.148,0.114
49,West Virginia,0.176,0.245,0.267,0.0,0.0,0.315,0.183
50,Wisconsin,0.088,0.313,0.242,0.186,0.271,0.198,0.118
51,Wyoming,0.105,0.0,0.178,0.0,0.216,0.0,0.117
